iso_3,name,status,src_url,src_date,src_update,src_name,src_name1,src_lic
CPV,Cabo Verde,Preparedness,https://data.humdata.org/dataset/cabo-verde-population-statistics,2021-07-13,2021-07-13,UNFPA and National Institute of Satistics (INE) Cabo Verde,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
CRI,Costa Rica,Preparedness,https://data.humdata.org/dataset/costa-rica-subnational-population-statisticsx,2022-01-13,2022-01-14,Costa Rica National Statistics Office (NSO),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
CUB,Cuba,Preparedness,https://data.humdata.org/dataset/cuba-administrative-levels-0-2-population-statistics,2021-07-21,2021-07-21,UNFPA and Oficina Oficial de Estadistica y Informazion,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
CUW,Curaçao,Preparedness,https://data.humdata.org/dataset/curacao-administrative-level-0-1-2011-sex-and-age-disaggregated-population-statistics,2019-12-16,2019-12-16,Central Bureau of Statistics Curaçao,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
CYM,Cayman Islands,Preparedness,https://data.humdata.org/dataset/cayman-islands-administrative-level-0-1-population-statistics,2020-03-24,2020-03-24,"Cayman Islands Ministry for Finance, Tourism & Development",OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
DJI,Djibouti,Preparedness,https://data.humdata.org/dataset/djibouti-population-statistics,2010-03-23,2018-08-16,Djibouti 2009 Census,OCHA ROSEA,Creative Commons Attribution for Intergovernmental Organisations
DMA,Dominica,Preparedness,https://data.humdata.org/dataset/dominica-population-statistics-for-populated-places-and-administrative-level-1,2017-09-20,2019-11-10,2011 Census,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
DOM,Dominican Republic,Preparedness,https://data.humdata.org/dataset/dominican-republic-administrative-level-0-4-2010-population-statistics,2021-06-10,2021-06-10,Oficina Nacional de Estadística,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
DZA,Algeria,Preparedness,,,,,,
ECU,Ecuador,Preparedness,https://data.humdata.org/dataset/ecuador-population-statistics-for-administrative-level-1-2-and-3,2021-07-14,2021-07-14,UNFPA and INEC - Instituto Nacional de Estadística y Censos ,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
EGY,Egypt,Preparedness,https://data.humdata.org/dataset/egypt-administrative-level-1-governorate-population-statistics,2017-09-25,2020-04-23,Central Agency for Public Mobilization and Statistics (CAPMAS),OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
ERI,Eritrea,Operational,https://data.humdata.org/dataset/eritrea-2001-population,2017-08-18,2020-04-29,"National Statistics Office,  Government of Eritrea",OCHA ROSEA,Creative Commons Attribution for Intergovernmental Organisations
ESH,Western Sahara,Preparedness,,,,,,
ETH,Ethiopia,Operational,https://data.humdata.org/dataset/ethiopia-population-data-_-admin-level-0-3,2022-01-05,2022-01-05,Central Statistics Agency (CSA),OCHA Ethiopia,Creative Commons Attribution for Intergovernmental Organisations
FJI,Fiji,Preparedness,https://data.humdata.org/dataset/fiji-administrative-level-0-1-2-and-3-population-statistics,2019-12-30,2019-12-30,"Fiji Bureau of Statistics (FBoS), 2017 Census of Population and Housing, 2017 Population and Housing Census, Administrative Report",OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
FSM,Micronesia (Federated States of),Preparedness,https://data.humdata.org/dataset/fsm-2010-administrative-level-0-2-sex-and-age-disaggregated-population-statistics,2019-06-14,2019-06-17,"Federated States of Micronesia Division of Statistics,  2010 Census of Population and Housing and Secretariat of the Pacific Community, Statistics for Development Division",OCHA ROP,Creative Commons Attribution for Intergovernmental Organisations
GAB,Gabon,Preparedness,,,,,,
GEO,Georgia,Preparedness,https://data.humdata.org/dataset/georgia-population-statistics,2019-08-28,2019-10-28,National Statistics Office of Georgia,OCHA ROCCA,Creative Commons Attribution for Intergovernmental Organisations
GHA,Ghana,Preparedness,https://data.humdata.org/dataset/ghana-subnational-population-statistics,2021-06-18,2021-11-17,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
GIN,Guinea,Preparedness,https://data.humdata.org/dataset/guinea-population-statistics,2021-03-05,2021-03-05,United Nations Population Fund (UNFPA) from data Census 2014 Institut Natinal de la statistique (INS),OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
GLP,Guadeloupe,Preparedness,https://data.humdata.org/dataset/guadeloupe-administrative-level-0-1-and-2-sadd-2016-population-statistics,2019-12-10,2019-12-10,Institut national de la statistique et des études économiques,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
GMB,Gambia,Preparedness,https://data.humdata.org/dataset/gambia-population-statistics,2018-03-28,2021-12-14,UNFPA,OCHA West and Central Africa (ROWCA),Creative Commons Attribution for Intergovernmental Organisations
GNB,Guinea-Bissau,Preparedness,,,,,,
GNQ,Equatorial Guinea,Preparedness,,,,,,
GRC,Greece,Preparedness,,,,,,
GRD,Grenada,Preparedness,https://data.humdata.org/dataset/grenada-subnational-population-statistics,2020-05-13,2020-05-13,"Ministry of Finance, Planning, Economic Development and Physical Development ",OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
GTM,Guatemala,Operational,https://data.humdata.org/dataset/guatemala-subnational-population-statistics,2020-05-15,2021-08-26,Instituto Nacional de Estadística (INE),OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
GUF,French Guiana,Preparedness,https://data.humdata.org/dataset/french-guiana-subnational-population-statistics,2020-11-16,2020-11-16,Institut national de la statistique et des études économiques (INSEE),OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
GUY,Guyana,Preparedness,https://data.humdata.org/dataset/guyana-administrative-level-0-1-population-statistics,2021-07-12,2021-07-12,UNFPA and United States Bureau of the Census,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
HND,Honduras,Operational,https://data.humdata.org/dataset/proyecciones-de-poblacion-por-area-y-sexo-segun-departamento-y-municipio,2020-06-12,2020-11-24,Instituto Nacional de Estadística - INE,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
HTI,Haiti,Operational,https://data.humdata.org/dataset/haiti-subnational-population-statistics,2021-08-17,2021-08-18,Worldpop,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
IDN,Indonesia,Preparedness,https://data.humdata.org/dataset/indonesia-subnational-population-statistics,2020-12-21,2020-12-21,UNFPA,UNFPA,Other
IRN,Iran (Islamic Republic of),Preparedness,https://data.humdata.org/dataset/population-statistics,2019-04-26,2019-04-26,Statistical Centre for Iran,OCHA ROMENA,Creative Commons Attribution for Intergovernmental Organisations
IRQ,Iraq,Operational,,,,,,
JAM,Jamaica,Preparedness,https://data.humdata.org/dataset/jamaica-administrative-level-0-1-population-statistics,2019-10-08,2019-10-08,Statistical Institute of Jamaica,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
JPN,Japan,Preparedness,,,,,,
KAZ,Kazakhstan,Preparedness,https://data.humdata.org/dataset/kazakhstan-population-statistics,2021-06-30,2021-06-30,National Statistics Office of Kazakhstan,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
KEN,Kenya,Preparedness,https://data.humdata.org/dataset/kenya-population-projection-by-county-2009-2018-and-subcounty-2015,2021-06-07,2021-06-07,Kenya National Bureau of Statistics: http://www.knbs.or.ke,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
KGZ,Kyrgyzstan,Preparedness,https://data.humdata.org/dataset/kyrgyzstan-population-statistics,2018-01-01,2019-08-07,National Statistical Committee of the Kyrgyz Republic,OCHA ROCCA,Creative Commons Attribution for Intergovernmental Organisations
KHM,Cambodia,Preparedness,https://data.humdata.org/dataset/cambodia-population-statistics,2021-04-13,2021-04-13,"Commune database (CDB), Cambodia Ministry of Planning",UNFPA,Creative Commons Attribution for Intergovernmental Organisations
KIR,Kiribati,Preparedness,https://data.humdata.org/dataset/kiribati-administrative-level-0-2-2015-sex-and-age-disaggregated-population-statistics,2021-07-22,2021-07-22,UNFPA and Pacific Community (SPC),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
KNA,Saint Kitts and Nevis,Preparedness,https://data.humdata.org/dataset/saint-kitts-and-nevis-administrative-level-0-1-population-statistics,2020-03-19,2020-03-19,CARICOM CAPACITY DEVELOPMENT PROGRAMME (CCDP),OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
KWT,Kuwait,Preparedness,,,,,,
LAO,Lao People's Democratic Republic,Preparedness,https://data.humdata.org/dataset/lao-pdr-population-statistics,2021-04-15,2021-04-15,Lao PDR National Statistics Bureau,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
LBN,Lebanon,Operational,,,,,,
LBR,Liberia,Preparedness,https://data.humdata.org/dataset/liberia-population-statistics,2020-03-18,2020-03-18,United Nations Population Fund (UNFPA),OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
LBY,Libya,Operational,,,,,,
LCA,Saint Lucia,Preparedness,https://data.humdata.org/dataset/st-lucia-administrative-levels-0-1-sex-and-age-disaggregated-population-statistics,2019-05-01,2019-05-01,St. Lucia Central Statistical Office,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
LKA,Sri Lanka,Preparedness,https://data.humdata.org/dataset/sri-lanka-subnational-population-statistics,2020-12-09,2020-12-10,UNFPA,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
LSO,Lesotho,Preparedness,https://data.humdata.org/dataset/lesotho-population-statistics,2021-08-05,2021-08-05,UNFPA and Lesotho Bureau of Statistics,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
MAF,Saint Martin (French part),Preparedness,https://data.humdata.org/dataset/saint-martin-administrative-level-0-1-sex-and-age-disaggregated-population-statistics,2020-02-21,2020-02-21,Institut national de la statistique et des études économiques,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
MAR,Morocco,Preparedness,,,,,,
MDA,Republic of Moldova,Preparedness,,,,,,
MDG,Madagascar,Preparedness,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-population-statistics,2018-09-28,2018-11-06,INSTAT / Madagascar BNGRC (National Disaster Management Agency ) 2009 population data,OCHA ROSEA,Other
MDV,Maldives,Preparedness,,,,,,
MEX,Mexico,Preparedness,https://data.humdata.org/dataset/mexican-administrative-level-0-1-and-2-and-populated-places-population-statistics,2021-06-15,2021-06-23,UNFPA and Consejo Nacional de Población,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
MHL,Marshall Islands,Preparedness,https://data.humdata.org/dataset/marshall-islands-administrative-level-0-2-population-statistics,2018-07-18,2018-07-18,"Republic of the Marshall Islands - Economic Policy and Planning Statistics Office (EPPSO) , 2011 Census of Population and Housing",OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
MKD,Republic of North Macedonia,Preparedness,,,,,,
MLI,Mali,Operational,https://data.humdata.org/dataset/population-projection-2018-of-mali-admin-levels-3-disaggregated-by-sex,2018-03-07,2019-08-07,DNP - Direction Nationale de la Population,OCHA Mali,Creative Commons Attribution for Intergovernmental Organisations
MMR,Myanmar,Operational,https://data.humdata.org/dataset/myanmar-population-census-2014,2015-07-16,2021-04-28,"UNFPA, Department of Population (DOP), MIMU",UNFPA,Creative Commons Attribution International
MNG,Mongolia,Preparedness,https://data.humdata.org/dataset/mongolia-other,2021-04-27,2021-04-27,National Statistics Office of Mongolia - Mongolian Statistical information service,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
MOZ,Mozambique,Operational,https://data.humdata.org/dataset/mozambique-subnational-population-statistics,2017-01-01,2021-01-22, Mozambique INE (Instituto Nacional de Estatistica),OCHA Regional Office for Southern and Eastern Africa (ROSEA),Creative Commons Attribution for Intergovernmental Organisations
MRT,Mauritania,Preparedness,https://data.humdata.org/dataset/mauritania-population-statistics,2020-03-31,2020-03-31,United Nations Population Fund (UNFPA) from data Census Office Nationale de la Statistique (ONS),OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
MSR,Montserrat,Preparedness,https://data.humdata.org/dataset/montserrat-administrative-level-0-1-sadd-2011-population-statistics,2020-02-25,2020-02-25,Statistics Department - Ministry of Finance & Economic Management Government of Montserrat ,OCHA ROLAC,Creative Commons Attribution International
MTQ,Martinique,Preparedness,https://data.humdata.org/dataset/martinique-administrative-level-0-2-sadd-population-statistics,2020-02-17,2020-02-17,Institut national de l’information géographique et forestière (IGN),OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
MUS,Mauritius,Preparedness,https://data.humdata.org/dataset/mauritius-subnational-population-statistics,2020-08-09,2020-08-09,Statistics Mauritius 2018 Estimates (July and December 2018) and Census 2011 Demography Table withage,OCHA ROSEA,Creative Commons Attribution for Intergovernmental Organisations
MWI,Malawi,Preparedness,https://data.humdata.org/dataset/malawi-administrative-level-0-3-population-statistics,2021-08-04,2021-09-08,Malawi National Statistics Office,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
MYS,Malaysia,Preparedness,https://data.humdata.org/dataset/malaysia-administrative-level-0-4-sadd-population-statistics-tables,2021-04-30,2021-04-30,"Department of Statistics, Malaysia",UNFPA,Creative Commons Attribution for Intergovernmental Organisations
NAM,Namibia,Preparedness,https://data.humdata.org/dataset/namibia-administrative-level-0-2-population-statisticsx,2021-04-30,2021-04-30,Namibia National Statistics Agency 2011 census of population,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
NER,Niger,Operational,https://data.humdata.org/dataset/niger-administrative-level-0-3-population-statistics,2021-09-30,2021-12-29,National Institute of Statistics,OCHA Niger,Creative Commons Attribution for Intergovernmental Organisations
NGA,Nigeria,Operational,https://data.humdata.org/dataset/nigeria-2016-population-data,2021-06-18,2021-06-18,UNFPA and United States Census Bureau - PEPFAR  program,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
NIC,Nicaragua,Preparedness,https://data.humdata.org/dataset/nicaragua-subnational-population-statistics,2020-06-12,2021-08-23,UNFPA and Instituto Nacional de Información de Desarrollo (INIDE),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
NPL,Nepal,Preparedness,https://data.humdata.org/dataset/nepal-population-statistics-census-2011,2019-02-13,2019-02-27,Census of population,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
NRU,Nauru,Preparedness,,,,,,
OMN,Oman,Preparedness,,,,,,
PAK,Pakistan,Preparedness,https://data.humdata.org/dataset/pakistan-administrative-level-0-3-population-statistics,2019-06-03,2019-06-03,"Pakistan Bureau of Statistics, Statistics Division, Ministry of Statistics, Government of Pakistan",OCHA FISS,Other
PAN,Panama,Preparedness,https://data.humdata.org/dataset/panama-subnational-population-statistics,2021-07-14,2021-07-14,UNFPA and Instituto Nacional De Estadística y Censos (INEC),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
PER,Peru,Preparedness,https://data.humdata.org/dataset/proyeccion-de-poblacion-por-distrito-y-edad-de-peru,2015-07-17,2020-07-17,Instituto Nacional de Estadística e Informática - INEI,OCHA Latin America and the Caribbean (ROLAC),Other
PHL,Philippines,Preparedness,https://data.humdata.org/dataset/phl_psx,2020-06-05,2021-12-20,Philippines Statistics Authority (PSA),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
PNG,Papua New Guinea,Preparedness,https://data.humdata.org/dataset/papua-new-guinea-administrative-level-0-1-2-and-3-population-statistics,2018-03-05,2021-07-12,Papua New Guinea National Statistics Office,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
PRI,Puerto Rico,Preparedness,https://data.humdata.org/dataset/puerto-rico-administrative-level-0-1-sadd-population-statistics,2019-11-08,2019-11-08,United States Bureau of the Census,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
PRK,Democratic People's Republic of Korea,Preparedness,https://data.humdata.org/dataset/dpr-korea-administrative-level-0-2-population-statistics,2019-02-08,2019-02-08,World Food Programme,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
PRY,Paraguay,Preparedness,https://data.humdata.org/dataset/paraguay-subnational-population-statistics,2021-06-09,2021-06-09,"UNFPA and Dirección General de Estadísticas, Encuestas y Censos (DGEEC)",UNFPA,Creative Commons Attribution for Intergovernmental Organisations
PSE,State of Palestine,Operational,https://data.humdata.org/dataset/stateofpalestine_population_projection_1997-2021,2020-11-10,2021-03-18,Palestinian Central Bureau of Statistics (PCBS),OCHA oPt,Creative Commons Attribution for Intergovernmental Organisations
QAT,Qatar,Preparedness,,,,,,
RWA,Rwanda,Preparedness,https://data.humdata.org/dataset/rwanda-population-statistics,2021-05-25,2021-05-25,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
SAU,Saudi Arabia,Preparedness,,,,,,
SDN,Sudan,Operational,,,,,,
SEN,Senegal,Preparedness,https://data.humdata.org/dataset/senegal-population-statistics,2020-03-18,2020-03-18,Agence Nationale de la Statistique et de la Démographie (ANSD) ,OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
SLB,Solomon Islands,Preparedness,https://data.humdata.org/dataset/solomon-islands-administrative-level-0-1-2-and-3-population-statistics,2018-01-12,2018-11-01,"Solomon Islands National Statistics Office (SINSO), 2009 Census of Population and Housing	",OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
SLE,Sierra Leone,Preparedness,https://data.humdata.org/dataset/sierra-leone-population,2019-03-11,2020-04-02,Statistics Sierra Leone (SSL) _ Population and Housing Census / UNFPA,OCHA ROWCA,Creative Commons Attribution for Intergovernmental Organisations
SLV,El Salvador,Operational,https://data.humdata.org/dataset/censo-de-poblacion-y-vivienda-el-salvador-2007,2021-08-04,2021-08-04,El Salvador UNFPA country office and Dirección General de Estarística y Censos (DIGESTYC),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
SOM,Somalia,Operational,https://data.humdata.org/dataset/somalia-population-data,2019-08-14,2021-12-07,Multiple Source (Humanitarian Partners),OCHA Somalia,Other
SSD,South Sudan,Operational,https://data.humdata.org/dataset/south-sudan-administrative-levels-0-2-2020-population-estimates,2022-01-05,2022-01-12,"FSNMS [Food Security and Nutrition Monitoring Systems], South Sudan National Bureau of Statistics [SSNBS], OCHA, IPC Technical Working Group, Population Working Group [SSPWG], IOM and UNHCR",OCHA South Sudan,Creative Commons Attribution for Intergovernmental Organisations
STP,Sao Tome and Principe,Preparedness,https://data.humdata.org/dataset/sao-tome-and-principe-administrative-level-0-1-population-statistics,2021-07-22,2022-01-20,UNFPA and INSTITUTO NACIONAL DE ESTATÍSTICA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
SUR,Suriname,Preparedness,https://data.humdata.org/dataset/suriname-administrative-level-0-2-sex-and-age-disaggregated-population-statistics,2019-10-24,2019-10-24,General office for the statistics census office,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
SWZ,Kingdom of Eswatini,Preparedness,https://data.humdata.org/dataset/kingdom-of-eswatini-subnational-population-statistics,2020-05-13,2021-08-05,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
SXM,Sint Maarten (Dutch part),Preparedness,https://data.humdata.org/dataset/sint-maarten-administrative-level-0-2-population-statistics,2018-09-14,2019-11-10,Sint Maarten Department of Statistics,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
SYC,Seychelles,Preparedness,https://data.humdata.org/dataset/seychelles-subnational-population-statistics,2020-05-28,2020-05-28,National Bureau of Statistics,OCHA ROSEA,Creative Commons Attribution for Intergovernmental Organisations
SYR,Syrian Arab Republic,Operational,,,,,,
TCA,Turks and Caicos Islands,Preparedness,https://data.humdata.org/dataset/turks-and-caicos-administrative-levels-0-1-population-statistics,2019-05-07,2021-02-09,2012 Census of Population,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
TCD,Chad,Operational,https://data.humdata.org/dataset/population-statistics-of-chad,2021-09-01,2021-07-01,UNFPA and INSEED Tchad,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
TGO,Togo,Preparedness,https://data.humdata.org/dataset/togo-administrative-level-0-2-population-statistics,2019-06-18,2021-07-05,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
THA,Thailand,Preparedness,https://data.humdata.org/dataset/thailand-administrative-levels-0-1-population-statistics,2019-03-01,2021-04-20,National Statistics Office of Thailand,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
TJK,Tajikistan,Preparedness,https://data.humdata.org/dataset/tajikistan-population-statistics,2021-07-01,2021-07-01,UNFPA and Statistics Agency under the President - Republic of Tajikistan,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
TKL,Tokelau,Preparedness,,,,,,
TLS,Timor-Leste,Preparedness,https://data.humdata.org/dataset/2015-census-population-for-timor-leste,2018-01-01,2018-05-22,National Statistics office of Timor Leste,OCHA ROAP,Creative Commons Attribution for Intergovernmental Organisations
TON,Tonga,Preparedness,https://data.humdata.org/dataset/tonga-administrative-level-0-1-2-and-3-population-statistics,2022-01-18,2022-01-18,"Tonga Statistics Department, PRELIMINARY RESULT TONGA POPULATION CENSUS 2021",UNFPA,Creative Commons Attribution for Intergovernmental Organisations
TTO,Trinidad and Tobago,Preparedness,https://data.humdata.org/dataset/trinidad-and-tobago-administrative-levels-0-1-population-statistics,2019-03-12,2020-03-18,Central Statistics Office,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
