ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-PS URL
KAZ,Kazakhstan,Preparedness,https://data.humdata.org/dataset/cod-ps-kaz
KEN,Kenya,Preparedness,https://data.humdata.org/dataset/cod-ps-ken
KGZ,Kyrgyzstan,Preparedness,https://data.humdata.org/dataset/cod-ps-kgz
KHM,Cambodia,Preparedness,https://data.humdata.org/dataset/cod-ps-khm
KIR,Kiribati,Preparedness,https://data.humdata.org/dataset/cod-ps-kir
KNA,Saint Kitts and Nevis,Preparedness,https://data.humdata.org/dataset/cod-ps-kna
KWT,Kuwait,Preparedness,
LAO,Lao People's Democratic Republic,Preparedness,https://data.humdata.org/dataset/cod-ps-lao
LBN,Lebanon,Operational,
LBR,Liberia,Preparedness,https://data.humdata.org/dataset/cod-ps-lbr
LBY,Libya,Operational,
LCA,Saint Lucia,Preparedness,https://data.humdata.org/dataset/cod-ps-lca
LKA,Sri Lanka,Preparedness,https://data.humdata.org/dataset/cod-ps-lka
LSO,Lesotho,Preparedness,https://data.humdata.org/dataset/cod-ps-lso
MAF,Saint Martin (French part),Preparedness,https://data.humdata.org/dataset/cod-ps-maf
MAR,Morocco,Preparedness,
MDA,Republic of Moldova,Preparedness,
MDG,Madagascar,Preparedness,https://data.humdata.org/dataset/cod-ps-mdg
MDV,Maldives,Preparedness,
MEX,Mexico,Preparedness,https://data.humdata.org/dataset/cod-ps-mex
MHL,Marshall Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-mhl
MKD,Republic of North Macedonia,Preparedness,
MLI,Mali,Operational,https://data.humdata.org/dataset/cod-ps-mli
MMR,Myanmar,Operational,https://data.humdata.org/dataset/cod-ps-mmr
MNG,Mongolia,Preparedness,https://data.humdata.org/dataset/cod-ps-mng
MOZ,Mozambique,Operational,https://data.humdata.org/dataset/cod-ps-moz
MRT,Mauritania,Preparedness,https://data.humdata.org/dataset/cod-ps-mrt
MSR,Montserrat,Preparedness,https://data.humdata.org/dataset/cod-ps-msr
MTQ,Martinique,Preparedness,https://data.humdata.org/dataset/cod-ps-mtq
MUS,Mauritius,Preparedness,https://data.humdata.org/dataset/cod-ps-mus
MWI,Malawi,Preparedness,https://data.humdata.org/dataset/cod-ps-mwi
MYS,Malaysia,Preparedness,https://data.humdata.org/dataset/cod-ps-mys
NAM,Namibia,Preparedness,https://data.humdata.org/dataset/cod-ps-nam
NER,Niger,Operational,https://data.humdata.org/dataset/cod-ps-ner
NGA,Nigeria,Operational,https://data.humdata.org/dataset/cod-ps-nga
NIC,Nicaragua,Preparedness,https://data.humdata.org/dataset/cod-ps-nic
NPL,Nepal,Preparedness,https://data.humdata.org/dataset/cod-ps-npl
NRU,Nauru,Preparedness,
OMN,Oman,Preparedness,
PAK,Pakistan,Preparedness,https://data.humdata.org/dataset/cod-ps-pak
PAN,Panama,Preparedness,https://data.humdata.org/dataset/cod-ps-pan
PER,Peru,Preparedness,https://data.humdata.org/dataset/cod-ps-per
PHL,Philippines,Preparedness,https://data.humdata.org/dataset/cod-ps-phl
PNG,Papua New Guinea,Preparedness,https://data.humdata.org/dataset/cod-ps-png
PRI,Puerto Rico,Preparedness,https://data.humdata.org/dataset/cod-ps-pri
PRK,Democratic People's Republic of Korea,Preparedness,https://data.humdata.org/dataset/cod-ps-prk
PRY,Paraguay,Preparedness,https://data.humdata.org/dataset/cod-ps-pry
PSE,State of Palestine,Operational,https://data.humdata.org/dataset/cod-ps-pse
QAT,Qatar,Preparedness,
RWA,Rwanda,Preparedness,https://data.humdata.org/dataset/cod-ps-rwa
SAU,Saudi Arabia,Preparedness,
SDN,Sudan,Operational,
SEN,Senegal,Preparedness,https://data.humdata.org/dataset/cod-ps-sen
SLB,Solomon Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-slb
SLE,Sierra Leone,Preparedness,https://data.humdata.org/dataset/cod-ps-sle
SLV,El Salvador,Operational,https://data.humdata.org/dataset/cod-ps-slv
SOM,Somalia,Operational,https://data.humdata.org/dataset/cod-ps-som
SSD,South Sudan,Operational,https://data.humdata.org/dataset/cod-ps-ssd
STP,Sao Tome and Principe,Preparedness,https://data.humdata.org/dataset/cod-ps-stp
SUR,Suriname,Preparedness,https://data.humdata.org/dataset/cod-ps-sur
SWZ,Kingdom of Eswatini,Preparedness,https://data.humdata.org/dataset/cod-ps-swz
SXM,Sint Maarten (Dutch part),Preparedness,https://data.humdata.org/dataset/cod-ps-sxm
SYC,Seychelles,Preparedness,https://data.humdata.org/dataset/cod-ps-syc
SYR,Syrian Arab Republic,Operational,
TCA,Turks and Caicos Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-tca
TCD,Chad,Operational,https://data.humdata.org/dataset/cod-ps-tcd
TGO,Togo,Preparedness,https://data.humdata.org/dataset/cod-ps-tgo
THA,Thailand,Preparedness,https://data.humdata.org/dataset/cod-ps-tha
TJK,Tajikistan,Preparedness,https://data.humdata.org/dataset/cod-ps-tjk
TKL,Tokelau,Preparedness,
TLS,Timor-Leste,Preparedness,https://data.humdata.org/dataset/cod-ps-tls
TON,Tonga,Preparedness,https://data.humdata.org/dataset/cod-ps-ton
TTO,Trinidad and Tobago,Preparedness,https://data.humdata.org/dataset/cod-ps-tto
TUN,Tunisia,Preparedness,https://data.humdata.org/dataset/cod-ps-tun
TUR,Turkey,Operational,https://data.humdata.org/dataset/cod-ps-tur
TZA,United Republic of Tanzania,Preparedness,https://data.humdata.org/dataset/cod-ps-tza
UGA,Uganda,Preparedness,https://data.humdata.org/dataset/cod-ps-uga
UKR,Ukraine,Operational,https://data.humdata.org/dataset/cod-ps-ukr
URY,Uruguay,Preparedness,https://data.humdata.org/dataset/cod-ps-ury
UZB,Uzbekistan,Preparedness,https://data.humdata.org/dataset/cod-ps-uzb
VCT,Saint Vincent and The Grenadines,Preparedness,https://data.humdata.org/dataset/cod-ps-vct
VEN,Venezuela (Bolivarian Republic of),Operational,https://data.humdata.org/dataset/cod-ps-ven
VGB,British Virgin Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-vgb
VIR,United States Virgin Islands,Preparedness,https://data.humdata.org/dataset/cod-ps-vir
VNM,Viet Nam,Preparedness,https://data.humdata.org/dataset/cod-ps-vnm
VUT,Vanuatu,Preparedness,https://data.humdata.org/dataset/cod-ps-vut
YEM,Yemen,Operational,
ZAF,South Africa,Preparedness,https://data.humdata.org/dataset/cod-ps-zaf
ZMB,Zambia,Preparedness,https://data.humdata.org/dataset/cod-ps-zmb
ZWE,Zimbabwe,Preparedness,https://data.humdata.org/dataset/cod-ps-zwe
