iso_3,iso_cd,iso_wp,iso_un,adm0_name1,cod_year,cod_lvl,cod_lvl_max,cod_0_fill
IRL,372,,,Ireland,,,,
IRN,364,,,Iran (Islamic Republic of),2016,,2,
IRQ,368,,,Iraq,,,,
ISL,352,,,Iceland,,,,
ISR,376,,,Israel,,,,
ITA,380,,,Italy,,,,
JAM,388,,,Jamaica,2011,1,,
JEY,832,,,Jersey,,,,
JOR,400,,,Jordan,,,,
JPN,392,,,Japan,,,,
KAZ,398,,,Kazakhstan,2021,1,,
KEN,404,,,Kenya,2019,1,2,
KGZ,417,,,Kyrgyzstan,2018,1,,
KHM,116,,,Cambodia,2021,1,,
KIR,296,,,Kiribati,2020,2,3,
KNA,659,,,Saint Kitts and Nevis,2000,1,,
KOR,410,,,Republic of Korea,,,,
KWT,414,,,Kuwait,,,,
LAO,418,,,Lao People's Democratic Republic,2020,2,,
LBN,422,,,Lebanon,,,,
LBR,430,,,Liberia,2020,2,,
LBY,434,,,Libya,,,,
LCA,662,,,Saint Lucia,2010,1,,
LIE,438,,,Liechtenstein,,,,
LKA,144,,,Sri Lanka,2022,2,,
LSO,426,,,Lesotho,2022,1,,
LTU,440,,,Lithuania,,,,
LUX,442,,,Luxembourg,,,,
LVA,428,,,Latvia,,,,
MAC,446,,,"Macao, Special Administrative Region of China",,,,
MAF,663,,,Saint Martin (French Part),2016,,1,
MAR,504,,,Morocco,,,,
MCO,492,,,Monaco,,,,
MDA,498,,,Republic of Moldova,,,,
MDG,450,,,Madagascar,2018,,4,
MDV,462,,,Maldives,2022,2,,
MEX,484,,,Mexico,2021,2,,
MHL,584,,,Marshall Islands,2011,,2,
MKD,807,,,North Macedonia,,,,
MLI,466,,,Mali,2018,,3,
MLT,470,,,Malta,,,,
MMR,104,,,Myanmar,2022,3,,
MNE,499,,,Montenegro,,,,
MNG,496,,,Mongolia,2021,,2,
MNP,580,,,Northern Mariana Islands,,,,
MOZ,508,,,Mozambique,2017,2,,1
MRT,478,,,Mauritania,2020,1,2,
MSR,500,,,Montserrat,2011,1,,
MTQ,474,,,Martinique,2016,2,,
MUS,480,,,Mauritius,2011,1,,1
MWI,454,,,Malawi,2022,2,,
MYS,458,,,Malaysia,2020,1,,
MYT,175,,,Mayotte,,,,
NAM,516,,,Namibia,2022,2,,
NCL,540,,,New Caledonia,,,,
NER,562,,,Niger,2022,,2,
NFK,574,,,Norfolk Island,,,,
NGA,566,,,Nigeria,2020,2,,
NIC,558,,,Nicaragua,2020,1,2,
NIU,570,,,Niue,,,,
NLD,528,,,Netherlands,,,,
NOR,578,,,Norway,,,,
NPL,524,,,Nepal,2022,2,,
NRU,520,,,Nauru,,,,
NZL,554,,,New Zealand,,,,
OMN,512,,,Oman,,,,
PAK,586,,,Pakistan,2017,,3,
PAN,591,,,Panama,2022,1,,
PCN,612,,,Pitcairn,,,,
PER,604,,,Peru,2022,1,,
PHL,608,,,Philippines,2022,1,2,
PLW,585,,,Palau,,,,
PNG,598,,,Papua New Guinea,2011,,3,
POL,616,,,Poland,,,,
PRI,630,,,Puerto Rico,2010,1,,
PRK,408,,,Democratic People's Republic of Korea,2008,,2,
PRT,620,,,Portugal,,,,
PRY,600,,,Paraguay,2022,2,,1
PSE,275,,,State of Palestine,2022,1,,
PYF,258,,,French Polynesia,,,,
QAT,634,,,Qatar,,,,
REU,638,,,Réunion,,,,
ROU,642,,,Romania,,,,
RUS,643,,,Russian Federation,,,,
RWA,646,,,Rwanda,2022,3,,
SAU,682,,,Saudi Arabia,,,,
SDN,729,,,Sudan,,,,
SEN,686,,,Senegal,2020,3,,
SGP,702,,,Singapore,,,,
SGS,239,,,South Georgia and the South Sandwich Islands,,,,
SHN,654,,,Saint Helena,,,,
SJM,744,,,Svalbard and Jan Mayen Islands,,,,
SLB,90,,,Solomon Islands,2009,,3,
SLE,694,,,Sierra Leone,2020,3,,
SLV,222,,,El Salvador,2022,2,,1
SMR,674,,,San Marino,,,,
SOM,706,,,Somalia,2014,,2,
SPM,666,,,Saint Pierre and Miquelon,,,,
SRB,688,,,Serbia,,,,
SSD,728,,,South Sudan,2022,,2,
STP,678,,,Sao Tome and Principe,2022,2,,
SUR,740,,,Suriname,2012,2,,
SVK,703,,,Slovakia,,,,
SVN,705,,,Slovenia,,,,
SWE,752,,,Sweden,,,,
SWZ,748,,,Eswatini,2022,1,,
SXM,534,,,Sint Maarten (Dutch part),2018,,1,
SYC,690,,,Seychelles,2019,,3,
SYR,760,,,Syrian Arab Republic,,,,
TCA,796,,,Turks and Caicos Islands,2019,,1,
TCD,148,,,Chad,2021,2,,
TGO,768,,,Togo,2021,1,,
THA,764,,,Thailand,2022,2,,
TJK,762,,,Tajikistan,2019,0,1,
TKL,772,,,Tokelau,,,,
TKM,795,,,Turkmenistan,,,,
TLS,626,,,Timor-Leste,2022,1,,
TON,776,,,Tonga,2021,1,,
TTO,780,,,Trinidad and Tobago,2011,1,,
TUN,788,,,Tunisia,2020,2,,
TUR,792,,,Turkey,2020,2,,
TUV,798,,,Tuvalu,,,,
TWN,158,,,"Taiwan, Province of China",,,,
TZA,834,,,United Republic of Tanzania,2020,2,,1
UGA,800,,,Uganda,2022,2,,
UKR,804,,,Ukraine,2020,1,,
UMI,581,,,United States Minor Outlying Islands,,,,
URY,858,,,Uruguay,2022,1,,
USA,840,,,United States of America,,,,
UZB,860,,,Uzbekistan,2018,,1,
VAT,336,,,Holy See,,,,
VCT,670,,,Saint Vincent and the Grenadines,2012,,2,
VEN,862,,,Venezuela (Bolivarian Republic of),2011,2,,
VGB,92,,,British Virgin Islands,2010,1,,
VIR,850,,,United States Virgin Islands,2010,2,,
VNM,704,,,Viet Nam,2022,1,,
VUT,548,,,Vanuatu,2022,2,,
WLF,876,,,Wallis and Futuna Islands,,,,
WSM,882,,,Samoa,,,,
YEM,887,,,Yemen,,,,
ZAF,710,,,South Africa,2020,2,,
ZMB,894,,,Zambia,2020,,,
ZWE,716,,,Zimbabwe,2021,1,,
XKX,925,KOS,SRB,Kosovo,,,,
XSI,934,SPR,,Spratly Islands,,,,
